,PLACEID,TIME,LAT,LON
Home (La Mesa),1001,2020-02-20 16:55:59,32.74710931,-117.0145372
SYHealth,1002,2020-02-21 16:55:59,32.57326166,-117.0685127
Tacos El Gordo,1003,2020-02-22 16:55:59,32.66836424,-117.0966045
Cabrillo Monument,1004,2020-02-23 16:55:59,32.6723823,-117.2419903
Coronado dog park,1005,2020-02-24 16:55:59,32.6866151,-117.1931096
Petco Park,1006,2020-02-25 16:55:59,32.70634331,-117.1566412
Convention Center,1007,2020-02-26 16:55:59,32.70728222,-117.1621558
Monkey Paw,1008,2020-02-27 16:55:59,32.71381581,-117.1493054
Horton Plaza/Election Night,1009,2020-02-28 16:55:59,32.71457418,-117.1634026
Radio (Carters),1010,2020-02-29 16:55:59,32.72022395,-117.0628102
Hamilton's,1011,2020-03-01 16:55:59,32.72195928,-117.1295333
Balboa Park,1012,2020-03-02 16:55:59,32.72956817,-117.1512162
Tiffin,1013,2020-03-03 16:55:59,32.72985,-117.0542861
Lindberg Field,1014,2020-03-04 16:55:59,32.731702,-117.199151
The Bluefoot,1015,2020-03-05 16:55:59,32.74129599,-117.130304
Sabor,1016,2020-03-06 16:55:59,32.74177982,-117.0447062
Hillcrest Apt,1017,2020-03-07 16:55:59,32.74476753,-117.1451527
Pizza Port OB,1018,2020-03-08 16:55:59,32.74826628,-117.2509806
Wedding Park,1019,2020-03-09 16:55:59,32.74906481,-117.1772697
Red Sea Ethiopian,1020,2020-03-10 16:55:59,32.74941093,-117.0930705
OB Dog Beach,1021,2020-03-11 16:55:59,32.75727084,-117.2536652
Small Bar,1022,2020-03-12 16:55:59,32.76155962,-117.1464453
Polite Provisions/Fall Brewing,1023,2020-03-13 16:55:59,32.76291639,-117.1315792
Wedding Reception,1024,2020-03-14 16:55:59,32.76434901,-117.1950582
USD,1025,2020-03-15 16:55:59,32.77033031,-117.1936472
CMSS,1026,2020-03-16 16:55:59,32.79130691,-116.9618115
Kyle's Spot LJ,1027,2020-03-17 16:55:59,32.819031,-117.276953
Alpine Brewing,1028,2020-03-18 16:55:59,32.83720816,-116.7760037
La Jolla Cove/Beer,1029,2020-03-19 16:55:59,32.84347,-117.27569
Alesmith,1030,2020-03-20 16:55:59,32.88836833,-117.1493887
Snow for Remy,1031,2020-03-21 16:55:59,32.92709395,-116.5688361
Dave's House,1032,2020-03-22 16:55:59,32.96806226,-117.1371184
Julian Pie Co,1033,2020-03-23 16:55:59,33.07909598,-116.6037951
Wildflowers,1034,2020-03-24 16:55:59,33.10069693,-116.304524
Aliyah/Ethan's,1035,2020-03-25 16:55:59,32.80622066,-117.1251933
Feather Ridge,1036,2020-03-26 16:55:59,32.95838566,-117.1179559
Green Flash,1037,2020-03-27 16:55:59,32.90745,-117.17796
MCHS,1038,2020-03-28 16:55:59,32.96802687,-117.1227948
Mesa Verde,1039,2020-03-29 16:55:59,32.961654,-117.145534
Costco MV,1040,2020-03-30 16:55:59,32.78271387,-117.12873
Qualcomm,1041,2020-03-31 16:55:59,32.7824252,-117.1191813
Ramona,1042,2020-04-01 16:55:59,33.015279,-116.866598
San marcos,1043,2020-04-02 16:55:59,33.15989565,-117.1969314
SD Dems office,1044,2020-04-03 16:55:59,32.83410732,-117.1457285
Sedge Court,1045,2020-04-04 16:55:59,32.95199025,-117.1232454
UCSD,1046,2020-04-05 16:55:59,32.88056467,-117.2405607
Zenith,1047,2020-04-06 16:55:59,32.79244099,-117.103117
Sprouts La Mesa,1048,2020-04-07 16:55:59,32.76285116,-117.0182801
Costco La Mesa,1049,2020-04-08 16:55:59,32.77382966,-117.0243981
I-5 Route,1050,2020-04-09 16:55:59,33.427691,-117.592235
I-15 Route,1051,2020-04-10 16:55:59,33.5048003,-117.1400971
Lost Abbey,1052,2020-04-11 16:55:59,33.14165258,-117.1521114
Escondido High School,1053,2020-04-12 16:55:59,33.14448865,-117.0905835
