site,placeid,time,lat,lon
La Mesa,3001,2021-03-01,32.74710931,-117.0145372
Holden,3002,2021-03-02,47.533187,-122.363209
3rd Ave,3003,2021-03-03,47.6646144,-122.3610036
Oakland,3004,2021-03-04,37.775233,-122.182081
Medford,3005,2021-03-05,42.31047768,-122.8416961
Crater Lake,3006,2021-03-06,42.9459454,-122.1085393
Joshua Tree,3007,2021-03-07,33.87438358,-115.9170694
Ventura,3009,2021-03-08,34.27383363,-119.2490668
Robin & Ken's,3010,2021-03-09,38.195437,-120.681443
Palm Springs,3011,2021-03-10,33.830375,-116.528418
Merril's wedding,3012,2021-03-11,39.85256682,-120.690207
Grand Canyon,3013,2021-03-12,36.12898214,-112.1462007
LA Wedding,3014,2021-03-13,34.04743516,-118.2500705
Angel's Stadium,3015,2021-03-14,33.80040602,-117.8819811
Petco Park,3016,2021-03-15,32.70634,-117.1566
